WXSC_Name,NedName,ClusterID,ra,dec,z_cmb,TTye,AxRatio,logW,logW_err,L_dist,ftot_W1,ftot_W1_err,magW1,magW1_err,MW1,MW1_err,MW1_debiased,MW1_debiased_err,bias_W1,MW1_final,MW1_final_err,ftot_W2,ftot_W2_err,magW2,magW2_err,MW2,MW2_err,MW2_debiased,MW2_debiased_err,bias_W2,MW2_final,MW2_final_err
2MASXJ18024831-6625503,NGC6492,PavoII,270.7014,-66.4307,0.0129,Sb,0.5910,2.7640,0.0220,55.9400,114.0390,1.5550,8.6646,0.0149,-25.0740,0.0149,-25.0694,0.0149,-0.0046,-25.3709,0.0336,58.7950,0.7900,8.7516,0.0147,-24.9870,0.0147,-24.9758,0.0148,-0.0113,-25.3914,0.0441
2MASXJ18144995-5841375,IC4692,PavoII,273.7081,-58.6938,0.0139,Sc,0.5880,2.4710,0.0370,60.1000,24.5640,0.2830,10.2931,0.0127,-23.6012,0.0127,-23.5281,0.0146,-0.0731,-23.5281,0.0146,13.9660,0.1790,10.2694,0.0141,-23.6250,0.0141,-23.5411,0.0164,-0.0839,-23.5411,0.0164
2MASXJ18162565-7134527,IC4682,PavoI,274.1070,-71.5813,0.0102,Sb,0.7300,2.6330,0.0250,43.9000,98.6920,1.0390,8.8077,0.0116,-24.4046,0.0116,-24.4050,0.0116,0.0004,-24.5910,0.0219,56.9550,0.7000,8.7732,0.0135,-24.4392,0.0135,-24.4408,0.0135,0.0016,-24.6937,0.0287
2MASXJ18201792-6444025,IC4696,PavoII,275.0747,-64.7342,0.0119,Sc,0.4680,2.6400,0.0280,51.6100,74.4250,0.7600,9.0842,0.0113,-24.4795,0.0113,-24.4670,0.0114,-0.0125,-24.4670,0.0114,46.4050,0.5310,8.9599,0.0126,-24.6038,0.0126,-24.5840,0.0127,-0.0198,-24.5840,0.0127
2MASXJ18205988-6320525,IC4698,PavoII,275.2501,-63.3479,0.0121,Sb,0.3940,2.3460,0.0140,52.2900,12.7230,0.1480,11.0431,0.0128,-22.5490,0.0128,-22.2758,0.0302,-0.2733,-22.2088,0.0309,8.3250,0.1290,10.8719,0.0169,-22.7202,0.0169,-22.4611,0.0310,-0.2591,-22.3577,0.0326
2MASXJ18232233-7244198,ESO045-G004,PavoI,275.8421,-72.7394,0.0148,Sc,0.5620,2.4560,0.0240,64.2500,9.4460,0.1410,11.3320,0.0163,-22.7074,0.0163,-22.6893,0.0164,-0.0181,-22.6893,0.0164,5.6660,0.1330,11.2520,0.0256,-22.7874,0.0256,-22.7694,0.0256,-0.0180,-22.7694,0.0256
2MASXJ18245948-6003397,ESO140-G021,PavoII,276.2479,-60.0610,0.0136,Sc,0.5020,2.4060,0.0240,58.9000,11.2630,0.1300,11.1373,0.0127,-22.7133,0.0127,-22.5583,0.0200,-0.1550,-22.5583,0.0200,7.0300,0.0880,11.0127,0.0138,-22.8378,0.0138,-22.6807,0.0209,-0.1571,-22.6807,0.0209
2MASXJ18280242-5718006,ESO182-G016,PavoII,277.0100,-57.3002,0.0203,Sc,0.3330,2.3780,0.0660,88.2300,2.4990,0.0790,12.7947,0.0344,-21.9334,0.0344,-21.7346,0.0397,-0.1988,-21.7346,0.0397,1.4800,0.1060,12.7291,0.0778,-21.9990,0.0778,-21.8093,0.0801,-0.1897,-21.8093,0.0801
2MASXJ18382569-5729258,IC4734,PavoII,279.6071,-57.4903,0.0137,Sc,0.6050,2.4560,0.0060,59.4400,56.9860,0.5840,9.3803,0.0113,-24.4901,0.0113,-24.3997,0.0145,-0.0904,-24.3997,0.0145,41.3200,0.4750,9.0923,0.0126,-24.7781,0.0126,-24.6799,0.0160,-0.0982,-24.6799,0.0160
2MASXJ18390279-5537025,ESO183-G005,PavoII,279.7616,-55.6174,0.0118,Sc,0.2550,2.2970,0.0160,51.0200,3.3970,0.0730,12.4356,0.0234,-21.1031,0.0234,-20.6694,0.0493,-0.4338,-20.6694,0.0493,2.1960,0.0530,12.2721,0.0263,-21.2666,0.0263,-20.8710,0.0475,-0.3956,-20.8710,0.0475
2MASXJ18392194-6641572,ESO103-G039,PavoII,279.8421,-66.6992,0.0114,Sc,0.6610,2.3640,0.0360,49.5000,5.4450,0.0890,11.9243,0.0179,-21.5488,0.0179,-21.3103,0.0298,-0.2385,-21.3103,0.0298,3.0800,0.0750,11.9062,0.0265,-21.5669,0.0265,-21.3249,0.0359,-0.2420,-21.3249,0.0359
2MASXJ18445400-6221532,ESO140-G043,PavoII,281.2250,-62.3647,0.0106,Sc,0.7700,2.5640,0.0630,45.8000,129.8100,1.3250,8.4747,0.0113,-24.8296,0.0113,-24.8052,0.0115,-0.0244,-24.8052,0.0115,151.3440,1.5610,7.6728,0.0114,-25.6316,0.0114,-25.5952,0.0119,-0.0363,-25.5952,0.0119
2MASXJ18474403-6309254,IC4769,PavoII,281.9335,-63.1569,0.0131,Sc,0.6840,2.5290,0.0320,56.5800,50.7280,0.5700,9.5027,0.0124,-24.2606,0.0124,-24.2241,0.0129,-0.0365,-24.2241,0.0129,45.4590,0.5320,8.9853,0.0129,-24.7780,0.0129,-24.7320,0.0137,-0.0460,-24.7320,0.0137
2MASXJ18561849-6834012,IC4789,PavoII,284.0772,-68.5678,0.0102,Sb,0.4480,2.4350,0.0450,44.0300,9.6480,0.1130,11.3419,0.0129,-21.8769,0.0129,-21.7645,0.0171,-0.1124,-21.7760,0.0171,5.4060,0.1020,11.3372,0.0206,-21.8816,0.0206,-21.7604,0.0239,-0.1212,-21.7675,0.0239
2MASXJ18565561-6123592,IC4793,PavoII,284.2317,-61.3998,0.0157,Sb,0.5050,2.5050,0.0240,68.1500,18.2150,0.2040,10.6672,0.0123,-23.5002,0.0123,-23.4512,0.0133,-0.0490,-23.5244,0.0151,11.0020,0.1340,10.5834,0.0134,-23.5839,0.0134,-23.5274,0.0145,-0.0565,-23.6214,0.0173
2MASXJ19030748-6835181,NGC6719,PavoI,285.7812,-68.5881,0.0109,Sc,0.5820,2.4500,0.0230,47.0100,23.1230,0.2680,10.3577,0.0127,-23.0032,0.0127,-22.9834,0.0129,-0.0198,-22.9834,0.0129,13.9720,0.1810,10.2672,0.0142,-23.0938,0.0142,-23.0732,0.0144,-0.0205,-23.0732,0.0144
2MASXJ19045886-5834454,IC4814,PavoII,286.2459,-58.5796,0.0095,Sc,0.6420,2.4730,0.0330,40.9000,23.6580,0.2890,10.3251,0.0134,-22.7336,0.0134,-22.6614,0.0152,-0.0722,-22.6614,0.0152,15.5380,0.2230,10.1428,0.0157,-22.9158,0.0157,-22.8340,0.0177,-0.0818,-22.8340,0.0177
2MASXJ19134856-5917396,IC4830,PavoII,288.4523,-59.2944,0.0140,Sb,0.7520,2.7610,0.0220,60.7500,88.4140,0.9120,8.9475,0.0114,-24.9702,0.0114,-24.9651,0.0114,-0.0051,-25.2640,0.0320,51.7460,0.7150,8.8982,0.0151,-25.0195,0.0151,-25.0085,0.0152,-0.0110,-25.4204,0.0439
2MASXJ19152747-5814169,IC4835,PavoII,288.8645,-58.2377,0.0159,Sc,0.5980,2.5700,0.0190,68.8500,13.4460,0.1660,10.9597,0.0136,-23.2298,0.0136,-23.2081,0.0137,-0.0218,-23.2081,0.0137,7.5800,0.1230,10.9439,0.0177,-23.2456,0.0177,-23.2126,0.0180,-0.0330,-23.2126,0.0180
2MASXJ19250536-6341005,NGC6776A,PavoI,291.2736,-63.6832,0.0114,Sc,0.3220,2.4210,0.0380,49.5000,13.1160,0.1690,10.9724,0.0141,-22.5006,0.0141,-22.4511,0.0150,-0.0495,-22.4511,0.0150,8.1860,0.1390,10.8469,0.0185,-22.6261,0.0185,-22.5819,0.0191,-0.0442,-22.5819,0.0191
2MASXJ19283917-5846043,IC4857,PavoII,292.1632,-58.7679,0.0134,Sc,0.8780,2.5430,0.0440,57.9600,24.3530,0.2910,10.3040,0.0131,-23.5116,0.0131,-23.4806,0.0135,-0.0310,-23.4806,0.0135,15.2800,0.2660,10.1726,0.0190,-23.6430,0.0190,-23.6013,0.0195,-0.0417,-23.6013,0.0195
